"001CH","Chesire ","Reino Unido ",+003.30,+004.69,"Porción (250 g) ","Vaca Curado ","Smith Farmer","101 "
"225CS","Cabernet Suavignon 97 ","Estados Unidos",+023.39,+037.85,"Botella ","D.O. Napa-Blanco","Golden Valley ","322 "
"226CR","Chardonnay Reserve 97 ","Estados Unidos",+021.86,+039.95,"Botella ","D.O. Napa-Blanco","Golden Valley ","322 "
"228ME","Merlot 97 ","Estados Unidos",+020.69,+040.75,"Botella ","D.O. Napa-Tinto ","Golden Valley ","322 "
"229CS","Cabernet Sauvignon 96 ","Estados Unidos",+024.71,+041.50,"Botella ","D.O. Napa-Blanco","Golden Valley ","322 "
"230CS","Cabernet Sauvignon 97 ","Estados Unidos",+026.74,+043.50,"Botella ","D.O. Napa-Blanco","Golden Valley ","322 "
"231CH","Chardonnay 98 ","Estados Unidos",+022.49,+042.25,"Botella ","D.O. Napa-Blanco","Golden Valley ","322 "
"232CR","Chardonnay Reserve 97 ","Estados Unidos",+027.65,+044.50,"Botella ","D.O. Napa-Blanco","Golden Valley ","322 "
"233CS","Cabernet Sauvignon 96 ","Estados Unidos",+023.15,+042.50,"Botella ","D.O. Napa-Blanco","Golden Valley ","322 "
"234CH","Chardonnay 95 ","Estados Unidos",+024.83,+046.50,"Botella ","D.O. Napa-Blanco","Golden Valley ","322 "
"235CS","Cabernet Sauvignon 96 ","Estados Unidos",+024.38,+047.00,"Botella ","D.O. Napa-Blanco","Golden Valley ","322 "
"236TR","Tinto Reserva 95/96 ","España",+013.14,+022.54,"Botella ","D.O. Ribera del Duero-Tinto ","Conde Duque Montaráz","304 "
"237TC","Tinto Crianza 96/97 ","España",+006.32,+011.27,"Botella ","D.O. Ribera del Duero-Tinto ","Conde Duque Montaráz","304 "
"238TR","Tinto Reserva 96","España",+009.98,+018.03,"Botella ","D.O. Ribera del Duero-Tinto ","Conde Duque Montaráz","304 "
"239TC","Tinto Crianza 97","España",+004.49,+008.11,"Botella ","D.O. Ribera del Duero-Tinto ","Conde Duque Montaráz","304 "
"240TR","Tinto Reserva 94","España",+006.24,+011.45,"Botella ","D.O. Ribera del Duero-Tinto ","Conde Duque Montaráz","304 "
"241TR","Tinto Reserva 95","España",+008.24,+014.31,"Botella ","D.O. Ribera del Duero-Tinto ","Conde Duque Montaráz","304 "
"242TC","Tinto Crianza 96","España",+004.23,+007.87,"Botella ","D.O. Ribera del Duero-Tinto ","Conde Duque Montaráz","304 "
"243TR","Tinto Reserva 94","España",+009.67,+018.80,"Botella ","D.O. Ribera del Duero-Tinto ","Bodegas Hnos. Soldeoro","304 "
"244TR","Tinto Reserva 94","España",+009.67,+017.17,"Botella ","D.O. Ribera del Duero-Tinto ","Bodegas Hnos. Soldeoro","304 "
"245TG","Tinto Gran Reserva 92/94","España",+022.07,+042.21,"Botella ","D.O. Ribera del Duero-Tinto ","Bodegas Hnos. Soldeoro","304 "
"246TR","Tinto Reserva 95/96 ","España",+011.87,+022.90,"Botella ","D.O. Ribera del Duero-Tinto ","Viuda de Soldeoro ","304 "
"247TC","Tinto Crianza 96/97 ","España",+006.75,+012.16,"Botella ","D.O. Ribera del Duero-Tinto ","Viuda de Soldeoro ","304 "
"248TR","Tinto Reserva 96","España",+011.68,+022.00,"Botella ","D.O. Priorato-Tinto ","El Monasterio ","304 "
"249TR","Tinto Reserva 96","España",+007.30,+013.52,"Botella ","D.O. Priorato-Tinto ","El Monasterio ","304 "
"250RS","Riesling Spätlese 99","Alemania",+006.73,+012.77,"Botella ","D.O. Pfalz-Blanco ","Graf Von Schulck","324 "
"251RA","Riesling Auslese Classic 99 ","Alemania",+011.21,+021.97,"Botella ","D.O. Pfalz-Blanco ","Graf Von Schulck","324 "
"252RA","Riesling Auslese 98 ","Alemania",+012.51,+020.64,"Botella ","D.O. Pfalz-Blanco ","Graf Von Schulck","324 "
"253RS","Riesling Spätlese 98","Alemania",+006.89,+013.40,"Botella ","D.O. Pfalz-Blanco ","Graf Von Schulck","324 "
"254RS","Riesling Spätlese 98","Alemania",+005.44,+010.52,"Botella ","D.O. Mosel-Saar-Ruwer-Blanco","Ernst Kunstler","323 "
"255MA","Merlot Blanc 97 ","Francia ",+005.84,+011.00,"Botella ","D.O. Bordeaux-Blanco","Château Duc Versalle","315 "
"256SB","Sauvignon Blanc 98","Francia ",+005.99,+011.00,"Botella ","D.O. Bordeaux-Blanco","Château Duc Versalle","315 "
"257BR","Bordeaux Rouge 97 ","Francia ",+006.48,+011.00,"Botella ","D.O. Bordeaux-Tinto ","Château Duc Versalle","315 "
"258CS","Cabernet Sauvignon 97 ","Francia ",+010.81,+018.00,"Botella ","D.O. Bordeaux-Tinto ","Château Haut-Loupiac","315 "
"259CF","Cabernet Franc 97 ","Francia ",+010.70,+018.00,"Botella ","D.O. Bordeaux-Tinto ","Château Haut-Loupiac","315 "
"260CM","Cabernet Merlot 97","Francia ",+009.53,+018.00,"Botella ","D.O. Bordeaux-Blanco","Château Haut-Loupiac","315 "
"261PV","Petit Verdot 97 ","Francia ",+010.05,+018.00,"Botella ","D.O. Bordeaux-Blanco","Château Haut-Loupiac","315 "
"262BO","Bordeaux 97 ","Francia ",+017.15,+029.95,"Botella ","D.O. Bordeaux-Tinto ","Monsieur Valentin ","315 "
"263BO","Bordeaux 88 ","Francia ",+049.30,+089.95,"Botella ","D.O. Bordeaux-Tinto ","Saint Estèphe ","315 "
"264BO","Bordeaux 88 ","Francia ",+558.58,+899.00,"Botella ","D.O. Bordeaux-Tinto ","Grant Estèphe ","315 "
"265BR","Bourgogne Rouge 97","Francia ",+005.41,+009.26,"Botella ","D.O. Bourgogne-Tinto","Château des Duc ","314 "
"266BP","Bourgogne Pinot Noir 98 ","Francia ",+004.79,+008.99,"Botella ","D.O. Bourgogne-Tinto","Château des Duc ","314 "
"267BP","Bourgogne Pinot Noir 97 ","Francia ",+004.95,+008.80,"Botella ","D.O. Bourgogne-Tinto","Château des Duc ","314 "
"268CC","Chablis Chardonnay 97/98","Francia ",+006.28,+012.11,"Botella ","D.O. Bourgogne-Blanco ","Duc Puy-Arnatel ","314 "
"269CC","Chablis Chardonnay 97 ","Francia ",+014.00,+023.74,"Botella ","D.O. Bourgogne-Blanco ","Duc Puy-Arnatel ","314 "
"270CC","Chablis Chardonnay 98 ","Francia ",+006.08,+011.21,"Botella ","D.O. Bourgogne-Blanco ","Duc Puy-Arnatel ","314 "
"271CC","Chablis Chardonnay 98 ","Francia ",+008.02,+015.06,"Botella ","D.O. Bourgogne-Rosado ","Château Haut-Rosee","314 "
"272CC","Chablis Chardonnay 98 ","Francia ",+009.63,+016.11,"Botella ","D.O. Bourgogne-Tinto","Château Plonsac ","314 "
"273PN","Pinot Noir 97 ","Francia ",+006.41,+012.56,"Botella ","D.O. Alsace-Tinto ","Allimat-Deiss ","316 "
"274RI","Riesling 96 ","Francia ",+005.42,+010.79,"Botella ","D.O. Alsace-Tinto ","Allimat-Deiss ","316 "
"275GE","Gewürztraminer 97 ","Francia ",+007.05,+012.53,"Botella ","D.O. Alsace-Rosado","Allimat-Deiss ","316 "
"276TP","Tokay Pinot Gris 98 ","Francia ",+006.21,+011.48,"Botella ","D.O. Alsace-Tinto ","Allimat-Deiss ","316 "
"277GE","Gewürztraminer 93 ","Francia ",+006.99,+011.51,"Botella ","D.O. Alsace-Tinto ","Spielmann Vignoble","316 "
"278SY","Sylvaner 96 ","Francia ",+003.43,+006.61,"Botella ","D.O. Alsace-Tinto ","Spielmann Vignoble","316 "
"279BS","Brut Extra Sélection","Francia ",+012.86,+024.00,"Botella ","D.O. Champagne-Brut ","Château d'Or","313 "
"28OBC","Blanc de Blancs Grand Cru ","Francia ",+014.57,+028.00,"Botella ","D.O. Champagne-Brut ","Blanc Chateau ","313 "
"281BC","Brut Premier Cru","Francia ",+013.85,+025.00,"Botella ","D.O. Champagne-Brut ","Château d'Or","313 "
"282BC","Blanc de Blancs Premier Cru ","Francia ",+016.42,+028.00,"Botella ","D.O. Champagne-Brut ","Blanc Château ","313 "
"283BC","Brut Chardonnay Blanc de Blancs ","Francia ",+015.71,+029.95,"Botella ","D.O. Champagne-Brut ","Château d'Or","313 "
"284BS","Brut Premier Cru","Francia ",+013.48,+025.00,"Botella ","D.O. Champagne-Brut ","Château d'Or","313 "
"285BB","Blanc de Blancs Brut Premier Cru","Francia ",+016.58,+032.00,"Botella ","D.O. Champagne-Brut ","Blanc Château ","313 "
"286BR","Brut Réserve","Francia ",+018.93,+035.00,"Botella ","D.O. Champagne-Brut ","Château d'Or","313 "
"287UB","Ultra-Brut","Francia ",+033.20,+054.00,"Botella ","D.O. Champagne-Brut ","Château d'Or","313 "
"288BR","Brut Rosé ","Francia ",+027.06,+054.00,"Botella ","D.O. Champagne-Brut ","Château d'Or","313 "
"289BR","Brut Réserve","Francia ",+049.57,+085.00,"Botella ","D.O. Champagne-Brut ","Château d'Or","313 "
"290BC","Brut Chardonnay ","Francia ",+041.79,+079.95,"Botella ","D.O. Champagne-Brut ","Château d'Or","313 "
"291BC","Grand Cordon Brut ","Francia ",+066.82,+119.95,"Botella ","D.O. Champagne-Brut ","Château d'Or","313 "
"292BC","1989 Brut Champagne ","Francia ",+099.26,+169.95,"Botella ","D.O. Champagne-Brut ","Chateau d'Or","313 "
"293YG","Yalumba Grenache 97 ","Australia ",+008.20,+015.00,"Botella ","D.O. Barossa Valley-Rosado","Australian Cellars","325 "
"294SH","Shiraz 97 ","Australia ",+008.48,+015.00,"Botella ","D.O. Barossa Valley-Rosado","Australian Cellars","325 "
"295GS","Golden Semillon 97","Australia ",+009.36,+018.00,"Botella ","D.O. Barossa Valley-Blanco","Australian Cellars","325 "
"296SW","Semillon Wood-Matured 94","Australia ",+009.53,+016.00,"Botella ","D.O. Barossa Valley-Blanco","Vineyards of Australia","326 "
"297ME","Merlot 97 ","Australia ",+012.09,+021.00,"Botella ","D.O. Barossa Valley-Blanco","Vineyards of Australia","326 "
"298SH","Shiraz 96 ","Australia ",+015.59,+025.00,"Botella ","D.O. Barossa Valley-Rosado","Vineyards of Australia","326 "
"299CS","Cabernet Sauvignon-Shiraz 98","Australia ",+012.46,+019.95,"Botella ","D.O. Coonawarra-Tinto ","Francis Jr.Cellars","327 "
"300CH","Chardonnay 98 ","Australia ",+012.29,+019.95,"Botella ","D.O. Coonawarra-Blanco","Francis Jr.Cellars","327 "
"301ME","Merlot 97 ","Australia ",+017.44,+029.95,"Botella ","D.O. Coonawarra-Tinto ","Francis Jr.Cellars","327 "
"302SC","Shiraz-Cabernet 96","Australia ",+019.09,+033.00,"Botella ","D.O. Coonawarra-Rosado","Francis Jr.Cellars","327 "
"303SE","Semillon 99 ","Australia ",+009.66,+016.00,"Botella ","D.O. Hunter Valley-Rosado ","Atlas Vineyard","328 "
"304CH","Chardonnay 98 ","Australia ",+010.80,+019.95,"Botella ","D.O. Hunter Valley-Blanco ","Atlas Vineyard","328 "
"305CH","Chardonnay 97 ","Australia ",+018.03,+029.95,"Botella ","D.O. Hunter Valley-Blanco ","Atlas Vineyard","328 "
"306CS","Cabernet Sauvignon 98 ","Chile ",+005.67,+009.95,"Botella ","Mendoza-Blanco","Casa Julia Montemar ","329 "
"307MA","Malbec 99 ","Chile ",+005.11,+009.95,"Botella ","Mendoza-Rosado","Casa Julia Montemar ","329 "
"308ME","Merlot 99 ","Chile ",+005.18,+009.95,"Botella ","Mendoza-Tinto ","Casa Julia Montemar ","329 "
"309CS","Cabernet Sauvignon 99 ","Chile ",+004.99,+009.95,"Botella ","Mendoza-Blanco","Casa Julia Montemar ","329 "
"310CB","Cru Beaujolais 99 ","Francia ",+004.42,+007.95,"Botella ","D.O. Beaujolais-Blanco","Saint Honoré","312 "
"311CB","Cru Beaujolais 98 ","Francia ",+008.41,+015.00,"Botella ","D.O. Beaujolais-Rosado","Saint Honoré","312 "
"312CB","Cru Beaujolais 98 ","Francia ",+028.38,+049.95,"Botella (1.5 l) ","D.O. Beaujolais-Tinto ","Saint Honoré","312 "
"313PA","Pacharán","España",+004.56,+007.50,"Botella ","Licores ","El Norte","310 "
"314JE","Jerez ","España",+004.97,+009.00,"Botella ","Licores ","Bodegas La Frontera ","310 "
"315FI","Fino","España",+003.76,+006.50,"Botella ","Licores ","Hermanos Montilla ","310 "
"316MO","Moscatel","España",+003.87,+007.50,"Botella ","Licores ","Casa Saez ","310 "
"317MA","Manzanilla","España",+003.97,+006.75,"Botella ","Licores ","Fina Pérez","310 "
"318SW","Scotch Whiskey 10 años","Reino Unido ",+013.49,+023.50,"Botella ","Whisky","Glendale","317 "
"319SW","Scotch Whiskey 12 años","Reino Unido ",+016.14,+027.00,"Botella ","Whisky","Glendale","317 "
"320SW","Scotch Whiskey 15 años","Reino Unido ",+017.10,+030.50,"Botella ","Whisky","Glendale","317 "
"321SW","Scotch Whiskey 18 años","Reino Unido ",+018.06,+032.60,"Botella ","Whisky","Glendale","317 "
"322SW","Scotch Whiskey 21 años","Reino Unido ",+059.48,+102.40,"Botella ","Whisky","Glendale","317 "
"323KB","Kentucky Bourbon","Estados Unidos",+006.95,+012.60,"Botella ","Whisky","James Smith ","320 "
"324TW","Tennesse Whiskey","Estados Unidos",+008.19,+013.40,"Botella ","Whisky","Long River","320 "
"325GR","Gran Reserva 94 ","España",+015.93,+030.97,"Botella ","D.O. Cava-Extra Brut","Santa Eulalia ","308 "
"326BN","Brut Nature ","España",+006.30,+010.11,"Botella ","D.O. Cava-Brut","Bodegas Ferrer","308 "
"327RM","Ron miel","España",+006.33,+011.20,"Botella ","Ron ","La Pampera","308 "
"328BR","Brut Reserva","España",+004.07,+007.20,"Botella ","D.O. Cava-Brut","Bodegas Ferrer","308 "
"329EB","Extra Brut","España",+003.10,+006.20,"Botella ","D.O. Cava-Extra Brut","Bodegas Ferrer","308 "
"330RR","Reserva Real","España",+010.56,+017.10,"Botella ","D.O. Cava-Extra Seco","Salteriu","308 "
"331BI","Brut Imperial ","España",+005.95,+010.20,"Botella ","D.O. Cava-Extra Brut","Salteriu","308 "
"332CR","Cuvée Reserva ","España",+008.71,+017.05,"Botella ","D.O. Cava-Seco","Salteriu","308 "
"333BB","Brut de Brut","España",+003.56,+007.00,"Botella ","D.O. Cava-Extra Brut","Santa Eulalia ","308 "
"334RF","Reserva Familia ","España",+006.51,+012.40,"Botella ","D.O. Cava-Extra Brut","Santa Eulalia ","308 "
"335GB","Gran Brut ","España",+009.31,+018.00,"Botella ","D.O. Cava-Extra Brut","Santa Eulalia ","308 "
"336BN","Brut Nature ","España",+011.15,+019.95,"Botella ","D.O. Cava-Brut Nature ","Santa Eulalia ","308 "
"337GI","Layden Gin","Reino Unido ",+008.68,+017.35,"Botella ","Ginebra ","Longin","317 "
"338CO","Cognac","Francia ",+101.10,+169.95,"Botella ","D.O. Cognac ","L'Evèque","311 "
"339CO","Cognac","Francia ",+059.22,+114.15,"Botella ","D.O. Cognac ","L'Evèque","311 "
"340CO","Cognac","Francia ",+030.39,+060.75,"Botella ","D.O. Cognac ","L'Evèque","311 "
